Adjustment,Age Group,Arc View Code,Best,Comments,Country,Drug Group,High,Low,Method,Number of Records,Source,Year
 ,15-64,AFG,0.001, ,Afghanistan,Amphetamines,,,HHS,1,UNODC/ Govt. Source,2009
 ,15 - 64,ALB,0.1,Amphetamine,Albania,Amphetamines,,,HHS,1,ARQ,2014
 ,15-64,ALB,0.1,Amphetamine,Albania,Amphetamines,,,HHS,1,Public health research,2014
 ,12+,DZA,0.03, ,Algeria,Amphetamines,,,HHS,1,ARQ,2010
 ,15-64,ARM,0.04, ,Armenia,Amphetamines,,,HHS,1,UNODC Estimate,2005
 ,14+,AUS,1.4,Amphetamine and methamphetamine,Australia,Amphetamines,,,HHS,1,ARQ,2016
 ,15-64,AUT,0.4, ,Austria,Amphetamines,0.6,0.2,HHS,1,Government source,2015
"d, e",15-64,BHS,0.43, ,Bahamas,Amphetamines,1.06,0.13,SS,1,ARQ,2008
z,12-65,BRB,0.2, ,Barbados,Amphetamines,,,HHS,1,CICAD,2006
g,15-64,BLR,0.35, ,Belarus,Amphetamines,,, ,1,UNODC Estimate,2006
 ,15-64,BEL,0.2, ,Belgium,Amphetamines,,,HHS,1,EMCDDA,2013
z,12-65,BLZ,1.35, ,Belize,Amphetamines,,,HHS,1,CICAD,2005
 ,16-65,BMU,0.1, ,Bermuda,Amphetamines,0.1,0.001,HHS,1,Government source,2009
 ,12-65,BOL,0.5,Includes prescription stimulants,Bolivia (Plurinational State of),Amphetamines,,,HHS,1,ARQ,2007
"b, d, e",15-64,BIH,0.5, ,Bosnia and Herzegovina,Amphetamines,0.91,0.09,SS,1,ARQ,2011
 ,15-64,BRA,0.3, ,Brazil,Amphetamines,,,HHS,1,Government source,2016
g,15-64,BRN,0.25, ,Brunei Darussalam,Amphetamines,,, ,1,UNODC Estimate,2006
 ,15 - 64,BGR,0.8,Amphetamine and methamphetamine,Bulgaria,Amphetamines,0.9,0.7,HHS,1,UNODC Estimate,2016
"d, e",15-64,KHM,0.6, ,Cambodia,Amphetamines,,, ,1,UNODC Estimate,2004
 ,15-64,CAN,0.25,Amphetamine,Canada,Amphetamines,,,HHS,1,ARQ,2015
 ,15-64,CHL,0.18,Amphetamine,Chile,Amphetamines,,,HHS,1,ARQ,2016
"d, e",15-64,HKG,0.35, ,"China, Hong Kong SAR",Amphetamines,1.11,0.07,SS,1,Government source,2008
