Age,Country,Drug Group,Method,Notes,Prevalence,Region,Source,Sub-Region,Year
12+,Algeria,Amphetamines,HHS,,0.03,Africa,ARQ,Northern Africa,2010
15-64,Egypt,Amphetamines,"HHS, SS",,0.48,Africa,Govt; Academic Research,Northern Africa,2006
15-64,South Africa,Amphetamines,HHS,,0.78,Africa,ARQ,Southern and South-Eastern Africa,2008
15-64,Zambia,Amphetamines,,,0.1,Africa,UNODC Estimate,Southern and South-Eastern Africa,2003
15-64,Nigeria,Amphetamines,HHS,,1.4,Africa,ARQ,West and Central Africa,2008
15-64,Bahamas,Amphetamines,,,0.29,Americas,UNODC Estimate,Caribbean,2003
15-64,Bahamas,Amphetamines,SS,,0.43,Americas,ARQ,Caribbean,2008
12-65,Barbados,Amphetamines,HHS,,0.2,Americas,CICAD,Caribbean,2006
15-64,Dominican Republic,Amphetamines,,,1.1,Americas,UNODC Estimate,Caribbean,2003
15-64,Dominican Republic,Amphetamines,SS,,0.95,Americas,ARQ,Caribbean,2008
15-64,Grenada,Amphetamines,,,0.7,Americas,ARQ,Caribbean,2005
15-64,Jamaica,Amphetamines,SS,,1.14,Americas,Government source,Caribbean,2006
15-64,Jamaica,Amphetamines,SS,,0.81,Americas,ARQ,Caribbean,2010
15-64,Puerto Rico,Amphetamines,SS,,0.43,Americas,Government source,Caribbean,2005
15-64,Trinidad and Tobago,Amphetamines,,,0.78,Americas,UNODC Estimate,Caribbean,2002
15-64,Trinidad and Tobago,Amphetamines,SS,,0.7,Americas,UNODC Estimate,Caribbean,2006
12-65,Belize,Amphetamines,HHS,,1.35,Americas,CICAD,Central America (excluding Mexico),2005
15-64,Costa Rica,Amphetamines,HHS,,0,Americas,ARQ,Central America (excluding Mexico),2015
12-65,El Salvador,Amphetamines,HHS,Includes prescription stimulants,0.38,Americas,Government Source,Central America (excluding Mexico),2014
15-64,Guatemala,Amphetamines,,,0.91,Americas,UNODC Estimate,Central America (excluding Mexico),2005
15-64,Honduras,Amphetamines,,,0.84,Americas,UNODC Estimate,Central America (excluding Mexico),2005
15-64,Nicaragua,Amphetamines,,,0.76,Americas,UNODC Estimate,Central America (excluding Mexico),2003
