Age,Country,Drug Group,Method,Notes,Prevalence,Region,Source,Sub-Region,Year
15-64,Kenya,Cannabis,"SS, A",,7.1,Africa,"ARQ, NGO, Council of Europe",Eastern Africa,2004
15-65,Kenya,Cannabis,HHS,,2.1,Africa,Govt,Eastern Africa,2007
15 - 64,Kenya,Cannabis,HHS,,1.2,Africa,ARQ,Eastern Africa,2016
15-64,Madagascar,Cannabis,"SS, A",,9.1,Africa,ARQ,Eastern Africa,2004
15-54,Mauritius,Cannabis,,,3.9,Africa,ARQ,Eastern Africa,2004
15-54,Mauritius,Cannabis,,,1.08,Africa,Government source,Eastern Africa,2009
12+,Algeria,Cannabis,HHS,,0.52,Africa,ARQ,Northern Africa,2010
15-64,Egypt,Cannabis,"HHS, SS",,6.24,Africa,Govt; Academic Research,Northern Africa,2006
15-64,Morocco,Cannabis,HHS,,4.22,Africa,ARQ,Northern Africa,2004
15-64,Tunisia,Cannabis,HHS,,2.6,Africa,ARQ,Northern Africa,2013
15-64,South Africa,Cannabis,HHS,,4.26,Africa,ARQ,Southern and South-Eastern Africa,2008
15-64,South Africa,Cannabis,SS,,3.65,Africa,ARQ,Southern and South-Eastern Africa,2011
15-64,Zambia,Cannabis,SS,,9.5,Africa,Govt; Academic Research,Southern and South-Eastern Africa,2004
15-64,Burkina Faso,Cannabis,,,2.9,Africa,UNODC Estimate,West and Central Africa,2006
15-64,Cabo Verde,Cannabis,,,8.1,Africa,UNODC Estimate,West and Central Africa,2004
15-64,Cabo Verde,Cannabis,HHS,,2.4,Africa,UNODC/Govt.,West and Central Africa,2012
15-64,Liberia,Cannabis,,,3.18,Africa,UNODC Estimate,West and Central Africa,2008
15-64,Nigeria,Cannabis,HHS,,14.3,Africa,ARQ,West and Central Africa,2008
15-64,Sierra Leone,Cannabis,,,5.42,Africa,UNODC Estimate,West and Central Africa,2010
15-64,Togo,Cannabis,SS,,2.73,Africa,UNODC Estimate,West and Central Africa,2006
15-64,Togo,Cannabis,SS,,1,Africa,UNODC Estimate,West and Central Africa,2009
15-64,Bahamas,Cannabis,SS,,4.7,Americas,UNODC Estimate,Caribbean,2003
15-64,Bahamas,Cannabis,SS,,5.54,Americas,ARQ,Caribbean,2008
15-64,Barbados,Cannabis,HHS,,8.3,Americas,CICAD,Caribbean,2006
15-64,Dominican Republic,Cannabis,SS,,0.31,Americas,ARQ,Caribbean,2008
12-65,Dominican Republic,Cannabis,HHS,,0.68,Americas,CICAD,Caribbean,2010
15-64,Haiti,Cannabis,SS,,1.41,Americas,UNODC Estimate,Caribbean,2005
15-64,Haiti,Cannabis,SS,,1.51,Americas,UNODC Estimate,Caribbean,2010
12-55,Jamaica,Cannabis,,,10.7,Americas,UNODC Estimate,Caribbean,2001
15-64,Jamaica,Cannabis,SS,,9.86,Americas,Government source,Caribbean,2006
15-64,Jamaica,Cannabis,SS,,7.21,Americas,UNODC Estimate,Caribbean,2010
15-64,Puerto Rico,Cannabis,SS,,4.88,Americas,Government source,Caribbean,2005
15-64,Saint Lucia,Cannabis,SS,,9,Americas,UNODC Estimate,Caribbean,2006
15-64,Saint Lucia,Cannabis,SS,,8.87,Americas,UNODC Estimate,Caribbean,2010
,Trinidad and Tobago,Cannabis,,,3.7,Americas,UNODC Estimate,Caribbean,2002
15-64,Trinidad and Tobago,Cannabis,SS,,4.66,Americas,Government source,Caribbean,2006
15-64,Trinidad and Tobago,Cannabis,SS,,4.03,Americas,UNODC Estimate,Caribbean,2010
12-65,Belize,Cannabis,HHS,,8.45,Americas,CICAD,Central America (excluding Mexico),2005
12-70,Costa Rica,Cannabis,HHS,,1.02,Americas,ARQ,Central America (excluding Mexico),2006
15-64,Costa Rica,Cannabis,HHS,,2.76,Americas,ARQ,Central America (excluding Mexico),2010
15 - 64,Costa Rica,Cannabis,HHS,,5.18,Americas,ARQ,Central America (excluding Mexico),2015
12-65,El Salvador,Cannabis,HHS,,0.39,Americas,CICAD,Central America (excluding Mexico),2005
12-65,El Salvador,Cannabis,HHS,,2.03,Americas,Government source,Central America (excluding Mexico),2014
12-65,Guatemala,Cannabis,"HHS, SS",,4.8,Americas,UNODC Estimate,Central America (excluding Mexico),2005
15-64,Honduras,Cannabis,SS,,1.5,Americas,UNODC Estimate,Central America (excluding Mexico),2004
12-65,Honduras,Cannabis,SS,,0.83,Americas,UNODC Estimate,Central America (excluding Mexico),2005
12-65,Nicaragua,Cannabis,HHS,,2.2,Americas,UNODC Estimate,Central America (excluding Mexico),2002
12-65,Nicaragua,Cannabis,HHS,,1.07,Americas,UNODC Estimate,Central America (excluding Mexico),2006
12-65,Panama,Cannabis,HHS,,3.55,Americas,UNODC Estimate,Central America (excluding Mexico),2003
12-65,Panama,Cannabis,HHS,Urban areas. Cannabis herb.,0.77,Americas,ARQ,Central America (excluding Mexico),2015
16-65,Bermuda,Cannabis,HHS,,10.9,Americas,Government source,Northern America (including Mexico),2009
15-64,Canada,Cannabis,HHS,,12.65,Americas,ARQ,Northern America (including Mexico),2010
15-64,Canada,Cannabis,HHS,,10.9,Americas,ARQ,Northern America (including Mexico),2011
15-64,Canada,Cannabis,HHS,,12.2,Americas,ARQ,Northern America (including Mexico),2012
15-64,Canada,Cannabis,HHS,,12.7,Americas,ARQ,Northern America (including Mexico),2013
15 - 64,Canada,Cannabis,HHS,,14.73,Americas,ARQ,Northern America (including Mexico),2015
12-65,Mexico,Cannabis,HHS,,1,Americas,Government source,Northern America (including Mexico),2008
12-65,Mexico,Cannabis,HHS,,1.2,Americas,Government Source,Northern America (including Mexico),2011
12-65,Mexico,Cannabis,HHS,Cannabis herb,2.1,Americas,ARQ/Government,Northern America (including Mexico),2016
15-64,United States of America,Cannabis,HHS,,14,Americas,ARQ,Northern America (including Mexico),2010
15-64,United States of America,Cannabis,HHS,,14,Americas,ARQ,Northern America (including Mexico),2011
15-64,United States of America,Cannabis,HHS,,14.8,Americas,ARQ,Northern America (including Mexico),2012
15-64,United States of America,Cannabis,HHS,,15.4,Americas,ARQ,Northern America (including Mexico),2013
15-64,United States of America,Cannabis,HHS,,16.2,Americas,ARQ,Northern America (including Mexico),2014
15-64,United States of America,Cannabis,HHS,Cannabis herb,16.5,Americas,ARQ,Northern America (including Mexico),2015
15 - 64,United States of America,Cannabis,HHS,Cannabis herb,17,Americas,ARQ,Northern America (including Mexico),2016
12-65,Argentina,Cannabis,HHS,,6.9,Americas,ARQ,South America,2006
15-64,Argentina,Cannabis,HHS,,3.2,Americas,ARQ,South America,2011
15 - 64,Argentina,Cannabis,HHS,Cannabis herb,8.13,Americas,ARQ,South America,2017
12-65,Bolivia (Plurinational State of),Cannabis,HHS,,4.5,Americas,ARQ,South America,2007
12-65,Bolivia (Plurinational State of),Cannabis,HHS,,1.27,Americas,ARQ,South America,2013
12-65,Brazil,Cannabis,HHS,,2.6,Americas,Government source,South America,2005
15-64,Brazil,Cannabis,HHS,,2.5,Americas,Government source,South America,2016
15-64,Chile,Cannabis,HHS,,6.7,Americas,ARQ,South America,2008
15-64,Chile,Cannabis,,,4.88,Americas,ARQ,South America,2010
15-64,Chile,Cannabis,HHS,,7.47,Americas,ARQ,South America,2012
15-64,Chile,Cannabis,HHS,,11.83,Americas,ARQ,South America,2014
15-64,Chile,Cannabis,HHS,Cannabis herb and resin,15.1,Americas,ARQ,South America,2016
18-65,Colombia,Cannabis,,,1.9,Americas,ARQ,South America,2003
12-65,Colombia,Cannabis,,,2.27,Americas,ARQ,South America,2008
12-65,Colombia,Cannabis,HHS,,3.27,Americas,ARQ,South America,2013
12-65,Ecuador,Cannabis,HHS,,0.7,Americas,ARQ,South America,2007
12-65,Ecuador,Cannabis,HHS,,0.67,Americas,ARQ,South America,2013
,Guyana,Cannabis,,,2.6,Americas,UNODC Estimate,South America,2002
15-64,Guyana,Cannabis,,,3.5,Americas,UNODC Estimate,South America,2008
15-64,Guyana,Cannabis,SS,,4.04,Americas,UNODC Estimate,South America,2010
12-65,Paraguay,Cannabis,,,1.6,Americas,UNODC Estimate,South America,2005
15-64,Peru,Cannabis,HHS,,0.7,Americas,Government source,South America,2006
12-65,Peru,Cannabis,HHS,,1.03,Americas,ARQ,South America,2010
15-64,Suriname,Cannabis,,,2,Americas,UNODC Estimate,South America,2002
12-65,Suriname,Cannabis,HHS,,4.25,Americas,Government source,South America,2007
15-64,Uruguay,Cannabis,HHS,,5.6,Americas,ARQ,South America,2006
15-64,Uruguay,Cannabis,HHS,,8.3,Americas,ARQ,South America,2011
15-65,Uruguay,Cannabis,HHS,,9.3,Americas,ARQ,South America,2014
15-64,Venezuela (Bolivarian Republic of),Cannabis,HHS,,0.85,Americas,Government source,South America,2005
12-65,Venezuela (Bolivarian Republic of),Cannabis,HHS,,1.56,Americas,Government source,South America,2011
15-64,Armenia,Cannabis,,,3.5,Asia,UNODC Estimate,Central Asia and Transcaucasia,2003
15-65,Azerbaijan,Cannabis,,,3.5,Asia,UNODC Estimate,Central Asia and Transcaucasia,2004
15-64,Georgia,Cannabis,SS,,1.1,Asia,ARQ,Central Asia and Transcaucasia,2005
15-64,Georgia,Cannabis,SS,,2.7,Asia,Government source/ NGO/Academic research,Central Asia and Transcaucasia,2009
18 - 64,Georgia,Cannabis,HHS,,3.4,Asia,ARQ,Central Asia and Transcaucasia,2015
15-64,Kazakhstan,Cannabis,,,4.2,Asia,INCSR,Central Asia and Transcaucasia,2003
15-64,Kazakhstan,Cannabis,SS,,2.4,Asia,ARQ,Central Asia and Transcaucasia,2012
15-64,Uzbekistan,Cannabis,,,4.2,Asia,UNODC Estimate,Central Asia and Transcaucasia,2003
15-64,Cambodia,Cannabis,,,3.5,Asia,UNODC Estimate,East and South-East Asia,2003
15-64,"China, Hong Kong SAR",Cannabis,SS,,0.4,Asia,Government source,East and South-East Asia,2008
15-64,"China, Macao SAR",Cannabis,R,,0.67,Asia,UNODC Estimate,East and South-East Asia,2003
