Age,Country,Drug Group,Method,Notes,Prevalence,Region,Source,Sub-Region,Year
15-65,Kenya,Cocaine,HHS,,0.3,Africa,Government source,Eastern Africa,2007
15 - 64,Kenya,Cocaine,HHS,Crack,0.1,Africa,ARQ,Eastern Africa,2016
12+,Algeria,Cocaine,HHS,,0.01,Africa,ARQ,Northern Africa,2010
15-64,Egypt,Cocaine,"HHS, SS",,0.02,Africa,Govt; Academic Research,Northern Africa,2006
15-64,Morocco,Cocaine,,,0.05,Africa,ARQ,Northern Africa,2004
15-64,South Africa,Cocaine,SS,,1.02,Africa,ARQ,Southern and South-Eastern Africa,2011
15-64,Cabo Verde,Cocaine,,,0.23,Africa,UNODC Estimate,West and Central Africa,2004
15-64,Cabo Verde,Cocaine,HHS,,0.2,Africa,UNODC/Govt.,West and Central Africa,2012
15-64,Nigeria,Cocaine,HHS,,0.7,Africa,ARQ,West and Central Africa,2008
15-64,Barbados,Cocaine,HHS,,0.4,Americas,CICAD,Caribbean,2006
15-64,Dominican Republic,Cocaine,SS,,0.3,Americas,ARQ,Caribbean,2008
12-65,Dominican Republic,Cocaine,HHS,,0.32,Americas,CICAD,Caribbean,2010
15-64,Haiti,Cocaine,,,0.9,Americas,UNODC Estimate,Caribbean,2005
15-64,Haiti,Cocaine,SS,,0.88,Americas,UNODC Estimate,Caribbean,2010
15-64,Jamaica,Cocaine,SS,,1.1,Americas,UNODC Estimate,Caribbean,2006
15-64,Jamaica,Cocaine,SS,,0.98,Americas,UNODC Estimate,Caribbean,2010
15-64,Puerto Rico,Cocaine,SS,,0.83,Americas,Government source,Caribbean,2005
15-64,Saint Lucia,Cocaine,,,1,Americas,UNODC Estimate,Caribbean,2002
15-64,Saint Lucia,Cocaine,SS,,0.6,Americas,UNODC Estimate,Caribbean,2010
15-64,Trinidad and Tobago,Cocaine,SS,,0.48,Americas,UNODC Estimate,Caribbean,2010
12-65,Belize,Cocaine,HHS,,0.85,Americas,UNODC Estimate,Central America (excluding Mexico),2005
12-70,Costa Rica,Cocaine,HHS,,0.31,Americas,ARQ,Central America (excluding Mexico),2006
15-64,Costa Rica,Cocaine,HHS,,1.06,Americas,ARQ,Central America (excluding Mexico),2010
15 - 64,Costa Rica,Cocaine,HHS,"Includes cocaine salts and ""crack""",1.33,Americas,ARQ,Central America (excluding Mexico),2015
12-65,El Salvador,Cocaine,HHS,,0.41,Americas,ARQ,Central America (excluding Mexico),2005
12-65,El Salvador,Cocaine,HHS,,0.37,Americas,UNODC Estimate/ Government Source,Central America (excluding Mexico),2014
15-64,Guatemala,Cocaine,HHS,,0.21,Americas,ARQ,Central America (excluding Mexico),2005
12-35,Honduras,Cocaine,,,0.87,Americas,ARQ,Central America (excluding Mexico),2005
12-65,Nicaragua,Cocaine,HHS,,0.69,Americas,UNODC Estimate,Central America (excluding Mexico),2006
12-65,Panama,Cocaine,HHS,,1.2,Americas,Government source,Central America (excluding Mexico),2003
12-65,Panama,Cocaine,HHS,Urban areas,0.1,Americas,ARQ,Central America (excluding Mexico),2015
16-65,Bermuda,Cocaine,HHS,,1.3,Americas,Government source,Northern America (including Mexico),2009
15-64,Canada,Cocaine,HHS,,0.82,Americas,ARQ,Northern America (including Mexico),2010
15-64,Canada,Cocaine,HHS,,1.1,Americas,ARQ,Northern America (including Mexico),2011
15-64,Canada,Cocaine,HHS,,1.3,Americas,ARQ,Northern America (including Mexico),2012
15-64,Canada,Cocaine,HHS,,1.1,Americas,ARQ,Northern America (including Mexico),2013
15 - 64,Canada,Cocaine,HHS,,1.47,Americas,ARQ,Northern America (including Mexico),2015
12-65,Mexico,Cocaine,HHS,,0.4,Americas,Government source,Northern America (including Mexico),2008
12-65,Mexico,Cocaine,HHS,,0.5,Americas,Govt. source (ENA),Northern America (including Mexico),2011
12-65,Mexico,Cocaine,HHS,,0.8,Americas,ARQ/Government,Northern America (including Mexico),2016
15-64,United States of America,Cocaine,HHS,,2.2,Americas,ARQ,Northern America (including Mexico),2010
15-64,United States of America,Cocaine,HHS,,1.9,Americas,ARQ,Northern America (including Mexico),2011
