Country/Territory,Coverage (age/grade),Drug Group,Lifetime,Notes,Past Month,Past Year,Region,Source,Subregion,Year of Estimate
Ethiopia,Youth (undefined),Cannabis-type,11,Ages not specified,,,AFRICA,ARQ,Eastern Africa,1999
Kenya, (HHS) age 15 - 17,Cannabis-type,1.1,Resin,0.9,,AFRICA,Govt.,Eastern Africa,2007
Kenya,15 - 16,Cannabis-type,3.1,Herb,,,AFRICA,ARQ,Eastern Africa,2012
Kenya,15 - 16,Cannabis-type,0.8,Resin,,,AFRICA,ARQ,Eastern Africa,2012
Kenya,15 - 16,Cannabis-type,2.8,Herb,1.1,1.1,AFRICA,ARQ,Eastern Africa,2016
Madagascar,15 - 19,Cannabis-type,, ,,18.53,AFRICA,ARQ,Eastern Africa,2004
Mauritius,14 - 18,Cannabis-type,10.9, ,,2.2,AFRICA,ARQ,Eastern Africa,2004
Seychelles,11 - 16,Cannabis-type,, ,,0.31,AFRICA,ARQ,Eastern Africa,2001
Algeria,15 - 16,Cannabis-type,, ,,,AFRICA,ARQ,Northern Africa,2005
Algeria,15 - 16,Cannabis-type,0.17,Herb,0.07,0.07,AFRICA,ARQ,Northern Africa,2010
Algeria,15 - 17,Cannabis-type,5.44,Resin,2.69,3.61,AFRICA,ARQ,Northern Africa,2016
Egypt,15,Cannabis-type,18.9, ,,,AFRICA,ARQ,Northern Africa,2006
Egypt,15 - 16,Cannabis-type,,(general population survey),,1.4,AFRICA,ARQ,Northern Africa,2013
Egypt,15 - 16,Cannabis-type,,Herb (general population survey),,5.3,AFRICA,ARQ,Northern Africa,2013
Morocco,(SS) 15 - 17,Cannabis-type,6.573,Select regions (Rabat),2.9456,4.6228,AFRICA,MedSPAD,Northern Africa,2005
Morocco,(SS) 15 - 17,Cannabis-type,7.2,Resin,2.6,4.6,AFRICA,MedSPAD,Northern Africa,2009
Morocco,15-16,Cannabis-type,9.2, ,4.1,6.2,AFRICA,MedSPAD,Northern Africa,2009
Morocco,(SS) 15 - 17,Cannabis-type,5, ,3,3,AFRICA,ARQ,Northern Africa,2013
Sudan,18 - 20,Cannabis-type,3, ,,,AFRICA,ARQ,Northern Africa,2009
Namibia,15 - 16,Cannabis-type,9.3,Herb,6.2,6.4,AFRICA,Govt.,Southern and South-Eastern Africa,2015
South Africa,13 - 22,Cannabis-type,12.7,Herb,9.7,,AFRICA,ARQ,Southern and South-Eastern Africa,2008
South Africa,(SS) grades 8- 10,Cannabis-type,23.6,Western Cape Town only,8.2,12.3,AFRICA,ARQ,Southern and South-Eastern Africa,2011
Zambia,(SS) grades 7 - 10,Cannabis-type,35.3,GSHS,,,AFRICA,WHO,Southern and South-Eastern Africa,2004
Ghana,13 - 15,Cannabis-type,, ,,17.1,AFRICA,ARQ,West and Central Africa,2007
Togo,(SS) age 14 - 16,Cannabis-type,1.9, ,,1.2,AFRICA,ARQ,West and Central Africa,2009
Antigua and Barbuda,Secondary/ High School,Cannabis-type,24.9, ,8.4,13.4,AMERICAS,OAS (MEM),Caribbean,2005
Antigua and Barbuda,SS,Cannabis-type,32.58, ,17.96,23.89,AMERICAS,CICAD/ OAS,Caribbean,2013
Bahamas,15 - 16,Cannabis-type,15.6, ,,8.5,AMERICAS,Govt.,Caribbean,2008
Bahamas,SS,Cannabis-type,12.78, ,4.29,8.1,AMERICAS,CICAD/ OAS,Caribbean,2011
Barbados,"(SS) 13, 15, & 17",Cannabis-type,17.4, ,6,10.6,AMERICAS,OAS (MEM),Caribbean,2006
Barbados,SS,Cannabis-type,20.93, ,10.44,15.96,AMERICAS,CICAD/ OAS,Caribbean,2013
Dominica,"(SS) 13, 15, & 17",Cannabis-type,29.4, ,11.8,17.9,AMERICAS,OAS (MEM),Caribbean,2006
Dominica,SS,Cannabis-type,32.87, ,12.47,19.77,AMERICAS,CICAD/ OAS,Caribbean,2011
Dominican Republic,12 - 18,Cannabis-type,1.7, ,0.4,1,AMERICAS,ARQ,Caribbean,2008
Grenada,15 - 16,Cannabis-type,29.1, ,10.4,18.1,AMERICAS,Govt.,Caribbean,2005
Grenada,SS,Cannabis-type,19.74, ,6.99,12.92,AMERICAS,CICAD/ OAS,Caribbean,2013
Haiti,15 - 16,Cannabis-type,3, ,,1.7,AMERICAS,ARQ,Caribbean,2005
Haiti,SS,Cannabis-type,3.2, ,1.21,2.36,AMERICAS,CICAD/ OAS,Caribbean,2014
Jamaica,Ages 11 - 19,Cannabis-type,25.1, ,8.5,14.6,AMERICAS,OAS,Caribbean,2006
Jamaica,(SS) 15 - 17,Cannabis-type,14.3, ,,,AMERICAS,ARQ,Caribbean,2010
Jamaica,SS,Cannabis-type,21.11, ,6.29,11.93,AMERICAS,CICAD/ OAS,Caribbean,2013
Puerto Rico,(SS) Grades 9 - 12,Cannabis-type,12.5,Youth Risk Behavior Survey,6.8,,AMERICAS,Govt.,Caribbean,2005
Saint Kitts and Nevis,15 - 16,Cannabis-type,32.4, ,9.74,18.5,AMERICAS,Govt.,Caribbean,2006
Saint Kitts and Nevis,SS,Cannabis-type,24.24, ,11.61,16.07,AMERICAS,CICAD/ OAS,Caribbean,2013
Saint Lucia,"(SS) 13, 15, & 17",Cannabis-type,25.5, ,8.8,15.9,AMERICAS,OAS (MEM),Caribbean,2005
Saint Lucia,SS,Cannabis-type,28.77, ,10.71,17.22,AMERICAS,CICAD/ OAS,Caribbean,2013
Saint Vincent and the Grenadines,"(SS) 13, 15, & 17",Cannabis-type,17.76, ,5.17,11.72,AMERICAS,OAS (MEM),Caribbean,2006
Saint Vincent and the Grenadines,SS,Cannabis-type,26.7, ,14.11,19.39,AMERICAS,CICAD/ OAS,Caribbean,2013
Trinidad and Tobago,"(SS) 13, 15, & 17",Cannabis-type,11.97, ,2.75,6.55,AMERICAS,OAS (MEM),Caribbean,2006
Trinidad and Tobago,SS,Cannabis-type,16.6, ,6.23,10.7,AMERICAS,CICAD/ OAS,Caribbean,2013
Turks and Caicos Islands,11 - 20,Cannabis-type,21.4, ,,14.5,AMERICAS,ARQ,Caribbean,2002
Belize,"(SS) 13, 15, & 17",Cannabis-type,20.5, ,6.7,13.4,AMERICAS,OAS (MEM),Central America (excluding Mexico),2002
Belize,SS,Cannabis-type,24.27, ,10.64,15.84,AMERICAS,CICAD/ OAS,Central America (excluding Mexico),2013
Costa Rica,SS,Cannabis-type,9.97,Herb,3.56,6.82,AMERICAS,ARQ,Central America (excluding Mexico),2009
Costa Rica,15- 16,Cannabis-type,16.83,Herb,5.65,11.74,AMERICAS,ARQ,Central America (excluding Mexico),2012
Costa Rica,15 - 16,Cannabis-type,13.309,Herb,1.795,7.3,AMERICAS,ARQ,Central America (excluding Mexico),2015
El Salvador,13-17,Cannabis-type,5.5, ,1.8,3.5,AMERICAS,ARQ,Central America (excluding Mexico),2008
El Salvador,17 - 25,Cannabis-type,12.7, ,0.7,3.4,AMERICAS,"Estudio Nacional sobre Consumo de Drogas en Población Estudiantil Universitaria de El Salvador, 2012",Central America (excluding Mexico),2012
El Salvador,17 - 25,Cannabis-type,0.9,Resin,0,0.1,AMERICAS,"Estudio Nacional sobre Consumo de Drogas en Población Estudiantil Universitaria de El Salvador, 2012",Central America (excluding Mexico),2012
El Salvador,17 - 25,Cannabis-type,11.8,Herb,0.7,3.3,AMERICAS,"Estudio Nacional sobre Consumo de Drogas en Población Estudiantil Universitaria de El Salvador, 2012",Central America (excluding Mexico),2012
El Salvador,13 - 17,Cannabis-type,15.4, ,4,7.3,AMERICAS,ARQ,Central America (excluding Mexico),2016
Guatemala,12 - 19,Cannabis-type,2, ,,1,AMERICAS,ARQ,Central America (excluding Mexico),2004
Guatemala,11 - 22,Cannabis-type,11.31,Herb,3.08,5.69,AMERICAS,ARQ,Central America (excluding Mexico),2014
Guatemala,11 - 22,Cannabis-type,0.88,Resin,,,AMERICAS,ARQ,Central America (excluding Mexico),2014
Honduras,13 - 25,Cannabis-type,3.4,Select Regions (Central  District),,,AMERICAS,ARQ,Central America (excluding Mexico),2008
