Y,X,gwid,statename,from,to,group,groupid,gwgroupid,umbrella,sqkm,type
,,2,United States,1946,2013,Whites,1000,201000,,9447198,Statewide
,,2,United States,1946,2013,American Indians,5000,205000,,2434682,Regionally based
,,2,United States,1946,2013,African Americans,3000,203000,,1039029,Statewide
,,2,United States,1966,2013,Asian Americans,4000,204000,,,Urban
,,2,United States,1966,2013,Arab Americans,6000,206000,,,Urban
,,2,United States,1966,2013,Latinos,2000,202000,,1882927,Regional & urban
,,20,Canada,1946,1948,Aboriginal peoples,4000,2004000,,3242297,Regionally based
,,20,Canada,1946,1948,English speakers,1000,2001000,,2174437,Regional & urban
,,20,Canada,1946,1948,French speakers,2000,2002000,,452237,Regional & urban
,,20,Canada,1949,2013,Aboriginal peoples,4000,2004000,,3260962,Regionally based
,,20,Canada,1949,2013,English speakers,1000,2001000,,2285631,Regional & urban
,,20,Canada,1949,2013,French speakers,2000,2002000,,541218,Regional & urban
,,40,Cuba,1946,2009,Whites,1000,4001000,,109496,Statewide
,,40,Cuba,1946,2009,Blacks,2000,4002000,,109496,Statewide
,,52,Trinidad and Tobago,1962,2013,Blacks,2000,5202000,,5031,Statewide
,,52,Trinidad and Tobago,1962,2013,East Indians,1000,5201000,,4718,Regional & urban
,,70,Mexico,1946,2013,Mestizos,1000,7001000,,1961273,Statewide
,,90,Guatemala,1946,2013,Ladinos,1000,9001000,,109407,Statewide
,,90,Guatemala,1946,2013,Xinca,4000,9004000,,331,Regionally based
,,90,Guatemala,1946,2013,Garífuna,3000,9003000,,83,Regionally based
,,70,Mexico,1946,2013,Other indigenous groups,3000,7003000,,327529,Regionally based
,,95,Panama,1946,2013,Afropanamanians,2000,9502000,,341,Regional & urban
,,771,Bangladesh,1972,2013,Bengali Hindus,1000,77101000,,,Dispersed
,,771,Bangladesh,1972,2013,Biharis (Urdu-Speaker),4000,77104000,,,Urban
,,70,Mexico,1946,2013,Maya,2000,7002000,,103868,Regionally based
,,70,Mexico,1946,2013,Afromexicans,9000,7009000,,15880,Regionally based
,,90,Guatemala,1946,2013,Maya,2000,9002000,,51294,Regional & urban
,,91,Honduras,1946,2013,Whites/mestizos,6000,9106000,,112619,Statewide
,,91,Honduras,1946,2013,Garifuna,10000,9110000,,2919,Regionally based
,,95,Panama,1960,2013,Ngobe-Bugle,3000,9503000,,6856,Regionally based
,,771,Bangladesh,1972,2013,Bengali Muslims,2000,77102000,,125454,Regional & urban
,,91,Honduras,1975,2013,"Indigenous peoples (Lenca, Maya-Chorti, Miskito, Tawahka/Sumu, Xicaque, Pech, Nahua)",7000,9107000,,9214,Regionally based
,,92,El Salvador,1946,2013,Whites/mestizos,1000,9201000,,20646,Statewide
,,92,El Salvador,1946,2013,Indigenous peoples,2000,9202000,,9881,Regionally based
,,565,Namibia,1990,2013,Kavango,6000,56506000,,13013,Regionally based
,,93,Nicaragua,1946,2013,Whites/mestizos,1000,9301000,,109471,Regional & urban
,,93,Nicaragua,1946,2013,Miskitos,3000,9303000,,9890,Regionally based
,,93,Nicaragua,1946,2013,Sumus,5000,9305000,,8385,Regionally based
,,93,Nicaragua,1946,2013,Afronicaraguans,2000,9302000,,1481,Regional & urban
,,94,Costa Rica,1946,2013,Whites/mestizos,1000,9401000,,51287,Statewide
,,94,Costa Rica,1946,2013,Indigenous peoples,3000,9403000,,6356,Regionally based
,,94,Costa Rica,1946,2013,Afro-Costa Ricans,2000,9402000,,1375,Regional & urban
,,95,Panama,1960,2013,Choco (Embera-Wounan),5000,9505000,,3426,Regionally based
,,100,Colombia,1946,2013,Indigenous peoples,3000,10003000,,734377,Regionally based
,,100,Colombia,1946,2013,Whites/mestizos,1000,10001000,,555156,Statewide
,,571,Botswana,1966,2013,Herero/Mbanderu,4000,57104000,,,Dispersed
,,571,Botswana,1966,2013,White,5000,57105000,,,Dispersed
,,571,Botswana,1966,2013,San,11000,57111000,,,Dispersed
,,95,Panama,1946,2013,Whites/mestizos,1000,9501000,,74446,Statewide
,,95,Panama,1946,2013,Kuna,4000,9504000,,2921,Regionally based
,,100,Colombia,1946,2013,Afrocolumbians,2000,10002000,,41782,Regional & urban
,,101,Venezuela,1946,2013,Whites/mestizos,1000,10101000,,476358,Statewide
,,101,Venezuela,1970,2013,Indigenous peoples,3000,10103000,,449499,Regionally based
,,101,Venezuela,2000,2013,Afrovenezuelans,2000,10102000,,11483,Regionally based
,,110,Guyana,1966,2013,Afro-Guyanese,2000,11002000,,10831,Regional & urban
,,225,Switzerland,1946,2013,Swiss Italians,3000,22503000,,4283,Regional & urban
,,230,Spain,1946,2013,Roma,5000,23005000,,,Migrant
,,230,Spain,1946,2013,Spanish,1000,23001000,,428476,Regional & urban
,,110,Guyana,1966,2013,Indigenous peoples,3000,11003000,,76085,Regionally based
,,110,Guyana,1966,2013,Indo-Guyanese,1000,11001000,,10831,Regional & urban
,,620,Libya,1951,2013,Berbers,5000,62005000,,8531,Regional & urban
,,130,Ecuador,1946,1970,Whites/mestizos,2000,13002000,,99499,Regional & urban
,,551,Zambia,1964,2013,Nyanja speakers (Easterners),6000,55106000,,27890,Regionally based
,,130,Ecuador,1946,2013,Indigenous highland peoples (Kichwa),3000,13003000,,71767,Regional & urban
,,625,Sudan,1956,2013,Nuba,7000,62507000,,83490,Regionally based
,,130,Ecuador,1946,2013,Afro-Ecuadorians,5000,13005000,,23586,Regional & urban
