longitude,latitude,mean_
-70.0,18.5,59.82
37.3,34.8,0.94
44.4,14.5,10.57
40.7,36.5,10.94
36.3,33.6,31.62
70.3,33.0,3.07
44.6,33.8,34.03
44.2,15.3,55.11
10.6,35.9,44.96
35.5,32.2,10.16
5.1,45.6,32.68
43.7,34.6,47.25
44.2,33.5,41.6
44.4,33.3,62.99
44.4,33.5,47.62
44.5,2.7,0.0
44.8,1.7,0.94
43.4,32.8,2.47
44.7,33.4,20.78
44.1,33.3,42.94
45.3,33.9,6.49
44.4,33.3,62.99
33.6,30.6,0.24
71.2,34.9,0.3
39.9,35.6,4.55
76.0,39.5,51.23
122.5,10.7,20.01
65.1,32.3,8.02
69.8,33.2,0.0
68.7,36.2,1.53
12.2,10.6,6.82
13.1,11.8,8.48
42.5,33.9,9.4
42.6,-0.1,0.0
70.1,34.8,0.0
42.4,34.2,10.71
70.4,33.4,0.0
44.6,33.1,26.08
44.4,33.3,62.99
44.6,33.2,26.64
43.2,35.5,17.7
42.2,3.5,0.0
121.0,14.4,62.11
29.4,-3.4,23.43
44.9,12.8,31.38
44.8,12.8,7.79
71.5,34.0,56.03
38.4,36.9,8.61
30.4,10.6,2.16
43.8,33.3,32.83
42.8,33.6,11.09
36.1,32.6,14.19
40.7,36.5,10.94
37.2,35.2,1.8
36.0,32.6,37.31
62.9,34.8,0.0
47.9,29.3,62.71
29.5,0.5,3.7
37.5,35.2,0.38
68.9,36.5,0.0
24.3,12.5,2.33
71.5,34.6,0.0
66.7,32.9,0.0
40.7,36.5,10.94
44.4,33.1,36.19
38.3,36.7,3.76
44.4,14.5,10.57
44.8,12.8,7.79
43.8,33.3,32.83
122.1,6.6,0.11
64.7,31.9,0.0
69.4,37.4,0.42
68.9,36.5,0.0
70.5,36.9,0.0
71.7,34.1,15.75
43.3,33.4,39.36
43.8,33.3,32.83
44.2,17.5,60.98
27.8,7.5,0.0
44.7,33.1,14.74
40.4,35.2,13.2
22.6,32.8,24.94
69.2,29.0,3.05
44.4,33.3,62.99
44.2,33.5,41.6
44.4,33.1,36.19
71.5,34.0,56.03
31.3,29.9,62.15
9.0,9.7,0.0
-101.3,21.0,39.28
34.1,31.2,29.09
34.1,31.1,12.49
45.0,12.9,48.25
43.9,33.3,14.36
13.1,11.8,8.48
29.4,-3.4,23.43
44.3,33.1,21.48
43.5,34.9,37.79
124.4,6.9,0.52
81.9,18.4,3.55
-72.7,8.6,6.15
13.7,12.6,0.0
8.2,4.8,6.09
44.6,33.2,26.64
44.4,33.5,47.62
11.9,11.5,0.0
70.1,36.8,0.0
44.3,33.6,37.78
43.6,35.1,7.03
45.3,2.1,5.48
43.5,34.9,37.79
121.5,17.2,0.18
44.0,13.6,35.51
20.2,32.1,59.2
69.1,34.5,50.37
120.4,16.7,2.45
22.6,32.8,24.94
67.2,29.4,0.0
65.5,36.3,0.0
12.2,10.4,0.0
43.6,3.1,0.54
44.4,33.3,62.99
63.5,35.1,0.0
40.5,35.0,17.85
44.7,2.3,0.0
62.3,31.3,0.0
-73.2,8.6,0.98
43.5,34.5,0.4
13.3,13.7,1.94
29.6,0.8,0.0
30.8,46.4,18.59
70.8,34.3,0.05
31.0,30.0,62.85
38.9,36.7,10.05
122.5,14.3,0.75
65.8,36.0,0.0
69.1,33.5,0.0
64.4,31.6,14.1
71.0,35.2,0.0
70.1,34.7,0.0
71.5,33.9,13.84
49.9,17.3,1.65
43.9,33.3,14.36
69.9,32.3,0.0
121.7,-1.3,0.0
36.4,33.6,22.67
40.1,36.8,3.92
44.8,12.8,7.79
44.0,33.3,22.35
124.5,7.1,0.0
43.5,34.9,37.79
44.4,33.3,62.99
43.3,33.4,39.36
43.8,34.2,17.02
124.2,7.2,8.53
68.9,37.2,3.26
43.5,33.4,43.45
70.6,30.7,9.48
62.2,34.3,22.81
62.7,25.6,0.0
100.6,13.8,63.0
63.5,25.3,3.91
41.9,36.3,9.28
43.5,33.4,43.45
44.7,33.4,20.78
45.3,2.1,5.48
42.5,-0.4,0.29
69.1,34.5,50.37
42.6,16.9,62.93
67.0,30.1,33.71
37.6,36.2,0.6
68.5,32.3,0.0
43.3,33.4,39.36
72.0,35.4,0.0
44.0,13.6,35.51
13.9,12.0,0.49
80.7,18.9,0.0
44.8,12.8,7.79
44.3,14.8,7.79
70.8,34.3,0.05
11.9,11.6,0.0
42.5,37.2,15.8
-5.6,15.3,0.0
81.9,19.2,2.1
44.7,44.5,1.94
124.7,7.1,0.56
90.4,23.8,62.43
69.1,34.2,0.0
72.6,34.4,0.92
-8.0,12.6,61.0
41.2,37.1,24.73
92.7,26.8,7.48
70.3,36.5,0.0
70.8,37.2,0.0
62.6,34.5,0.0
65.7,37.5,0.0
44.4,33.3,62.99
44.3,33.1,21.48
43.6,34.8,10.94
44.6,33.0,8.12
44.4,33.5,47.62
64.4,31.6,14.1
81.5,7.9,11.59
29.9,0.6,0.0
44.3,37.5,2.73
38.6,48.7,5.25
65.9,32.6,6.14
20.7,5.8,0.0
43.2,37.6,5.46
69.3,35.8,0.0
71.0,34.4,0.0
43.6,35.3,15.98
44.9,13.5,4.56
44.4,33.3,62.99
44.6,33.1,26.08
31.6,4.9,15.54
43.8,35.3,19.74
43.5,35.3,9.14
43.5,34.9,37.79
44.7,33.4,20.78
123.9,12.8,0.0
69.0,32.4,0.0
68.9,36.7,18.82
42.0,38.1,2.3
67.1,24.9,63.0
14.2,11.1,0.05
80.7,18.9,0.0
49.4,16.9,0.0
44.0,13.6,35.51
10.6,35.8,59.51
29.4,-3.4,23.43
97.0,19.9,1.64
125.8,7.4,11.34
44.4,35.1,9.35
43.5,34.9,37.79
46.6,4.7,0.0
68.9,36.7,18.82
124.8,7.8,0.64
69.0,34.6,8.4
69.0,34.0,2.07
12.0,11.7,4.78
69.4,37.1,0.0
90.4,23.8,62.43
44.3,33.1,21.48
44.4,33.3,62.99
68.7,35.9,3.8
44.4,33.3,62.99
44.4,33.3,62.99
44.4,33.1,36.19
41.2,37.1,24.73
72.3,34.8,10.34
71.7,34.0,25.23
90.4,23.8,62.43
44.3,33.1,21.48
61.4,35.4,0.0
44.2,33.5,41.6
28.4,4.6,2.05
64.4,31.6,14.1
64.3,35.7,0.0
42.1,4.1,0.0
66.7,33.0,0.0
44.5,33.6,12.84
66.5,25.8,0.0
74.5,34.3,4.66
45.0,13.1,1.61
80.2,19.6,1.28
42.4,40.7,0.78
101.2,6.8,15.46
125.1,7.2,0.0
9.2,35.4,3.2
34.2,31.3,24.95
43.8,33.3,32.83
43.7,33.3,22.87
43.3,33.5,28.31
43.3,33.4,39.36
35.3,32.1,36.48
37.7,47.2,12.71
12.5,13.1,4.03
65.7,31.6,31.83
62.6,34.5,0.0
34.1,31.2,29.09
45.2,4.7,0.31
35.2,31.7,58.47
108.9,34.3,62.45
44.4,33.2,47.0
44.8,33.9,13.13
45.1,2.1,0.49
121.8,17.0,4.77
45.3,2.1,5.48
69.1,34.5,50.37
41.2,37.1,24.73
45.0,12.9,48.25
30.0,-2.7,0.0
43.3,33.4,39.36
37.1,36.2,34.92
44.8,12.8,7.79
63.2,34.4,0.0
-73.8,0.9,0.0
71.2,34.9,0.3
44.7,2.4,0.0
63.7,30.0,0.0
64.8,32.4,0.54
29.7,-3.7,0.0
43.5,34.9,37.79
43.9,33.2,18.97
43.9,33.4,36.14
-79.9,32.8,55.78
33.8,31.1,34.11
49.1,14.5,34.16
44.2,15.3,55.11
42.6,16.9,62.93
68.4,34.1,0.0
68.7,34.0,0.0
44.2,33.5,41.6
43.7,34.6,47.25
6.5,10.7,2.06
44.8,12.8,7.79
44.4,33.3,62.99
45.1,2.1,0.49
40.1,1.7,0.77
44.2,15.3,55.11
42.6,16.9,62.93
122.1,11.4,0.15
81.2,18.3,0.0
45.3,2.1,5.48
68.1,33.2,0.0
74.5,34.3,4.66
68.7,35.6,0.0
62.2,33.3,0.79
28.6,3.6,0.41
124.5,7.0,0.0
64.1,31.5,0.0
68.8,36.7,4.28
37.1,36.2,34.92
45.0,12.8,53.46
37.1,36.3,13.18
66.9,32.1,10.62
65.9,36.2,1.13
64.8,32.3,0.4
20.2,32.1,59.2
44.3,34.8,0.0
12.9,13.5,0.28
44.4,33.1,36.19
20.3,31.9,9.16
124.5,6.9,0.05
45.1,2.1,0.49
20.2,32.1,59.2
45.2,4.7,0.31
67.1,24.9,63.0
22.6,32.8,24.94
31.1,29.1,60.1
121.9,14.0,2.96
13.2,11.8,10.47
46.0,2.7,0.0
43.6,33.4,32.75
69.9,32.7,0.0
12.6,13.3,4.85
39.2,-6.8,53.87
45.3,2.1,5.48
101.2,6.8,15.46
70.7,33.8,0.0
69.6,34.9,0.0
69.9,33.3,2.03
68.9,36.7,18.82
45.4,14.4,0.05
24.8,13.4,0.0
29.5,0.5,3.7
12.6,11.8,0.0
43.7,3.1,0.64
43.6,3.8,0.0
95.6,27.6,8.0
44.5,33.8,18.48
14.1,13.3,0.0
44.4,33.3,62.99
44.4,33.1,36.19
44.3,33.6,37.78
101.7,6.3,10.69
-71.9,-13.9,0.0
24.4,12.9,0.0
64.9,33.7,0.0
64.9,36.1,0.0
121.1,14.6,62.8
20.2,32.1,59.2
-56.6,-24.2,6.68
98.2,22.0,0.0
125.6,7.1,54.15
71.4,34.0,26.96
43.9,33.2,18.97
43.9,33.3,14.36
43.8,33.3,32.83
70.6,34.2,0.0
44.4,33.3,62.99
8.4,9.5,0.0
37.1,36.2,34.92
67.0,30.2,62.08
124.4,6.9,0.52
44.4,33.3,62.99
44.1,33.3,42.94
44.2,33.5,41.6
-74.0,3.5,1.67
35.1,31.9,47.09
124.9,7.7,0.73
20.2,32.1,59.2
42.3,4.0,0.0
46.6,6.1,0.47
44.0,33.2,15.21
44.3,33.5,56.42
44.6,33.1,26.08
33.8,31.1,34.11
68.4,33.8,0.0
63.6,34.9,0.0
124.3,8.1,0.37
80.8,19.1,0.0
40.9,-2.3,2.68
14.2,12.4,0.99
44.6,33.1,26.08
44.4,33.3,62.99
44.4,33.3,62.99
44.4,33.3,62.99
44.6,33.1,26.08
68.7,36.0,9.51
40.4,35.2,13.2
7.4,10.5,49.24
42.4,34.0,6.21
42.8,33.6,11.09
40.7,36.5,10.94
65.7,31.6,31.83
65.1,31.8,0.0
65.9,32.1,0.0
45.0,12.9,48.25
101.2,6.4,4.42
22.4,32.8,9.35
70.8,34.2,0.1
90.3,25.6,0.12
63.1,34.6,0.37
44.4,33.7,28.48
42.3,32.0,1.41
44.4,33.3,62.99
44.4,33.1,36.19
44.7,33.9,13.32
44.6,33.1,26.08
80.7,18.9,0.0
42.6,16.9,62.93
45.2,15.1,0.0
123.9,7.9,0.0
122.0,6.7,3.21
37.1,36.2,34.92
62.2,32.5,0.0
62.1,32.5,0.0
62.1,32.4,5.06
68.9,35.8,0.0
69.0,34.0,2.07
65.1,37.0,1.0
45.0,12.9,48.25
31.3,30.1,63.0
14.4,27.0,29.33
44.6,33.1,26.08
44.4,33.2,47.0
44.4,35.5,59.22
42.5,-0.4,0.29
68.2,28.4,5.39
44.4,33.3,62.99
44.4,33.5,47.62
44.4,33.3,62.99
34.1,31.2,29.09
35.3,32.1,36.48
67.0,30.2,62.08
44.2,15.3,55.11
69.0,34.0,2.07
32.7,0.4,15.95
40.5,35.0,17.85
72.5,35.5,0.0
93.7,25.9,26.02
68.4,33.5,3.65
30.5,31.0,52.57
64.9,36.0,0.0
44.4,33.3,62.99
12.8,11.8,0.0
13.1,11.8,8.48
-7.3,15.2,0.61
41.5,-1.4,0.0
44.9,12.8,31.38
43.9,33.2,18.97
44.7,33.4,20.78
44.2,34.1,8.1
123.8,12.9,0.0
69.5,32.6,0.0
36.3,33.5,56.4
69.9,33.3,2.03
68.1,33.2,0.0
44.4,33.3,62.99
44.7,33.4,20.78
124.4,6.9,0.52
42.5,33.9,9.4
43.8,33.3,32.83
44.3,33.1,21.48
44.4,33.3,62.99
124.9,11.8,4.33
44.4,33.3,62.99
44.4,33.0,19.68
43.6,33.4,32.75
67.1,24.9,63.0
67.0,30.2,62.08
22.6,32.8,24.94
71.1,34.1,3.62
120.9,14.4,50.2
101.5,6.2,4.12
11.2,11.8,0.0
11.1,11.7,5.88
15.0,12.1,30.87
69.3,36.4,0.0
69.6,34.2,0.0
44.4,33.3,62.99
41.0,-1.7,0.0
44.4,33.1,36.19
65.7,36.7,1.72
65.5,32.2,0.0
74.5,34.3,4.66
11.8,12.2,0.2
125.0,8.0,1.64
125.5,7.3,1.22
41.1,34.4,21.71
44.7,33.4,20.78
43.5,34.8,18.79
43.9,33.4,36.14
43.8,33.3,32.83
8.3,5.0,23.61
65.7,31.6,31.83
65.5,32.6,0.45
44.4,33.3,62.99
70.7,32.9,7.88
68.9,36.7,18.82
75.1,33.8,5.78
83.2,19.9,10.5
43.9,33.2,18.97
37.1,36.2,34.92
36.3,33.5,56.4
29.4,-3.1,0.22
44.0,33.3,22.35
122.6,14.3,0.0
124.4,6.9,0.52
45.3,2.1,5.48
64.8,32.4,0.54
64.9,32.1,3.21
65.8,36.0,0.0
122.2,6.5,0.0
68.8,36.7,4.28
74.5,34.4,0.55
43.5,34.9,37.79
43.7,34.6,47.25
43.8,34.9,47.5
65.9,36.0,0.0
39.8,38.6,6.58
68.5,33.5,0.0
34.1,31.2,29.09
37.6,36.2,0.6
65.1,34.1,0.0
45.1,2.1,0.49
12.2,10.6,6.82
13.2,11.8,10.47
44.2,14.0,18.68
65.4,36.2,0.0
70.5,34.1,0.0
68.3,34.2,0.0
45.1,2.1,0.49
42.1,37.4,6.34
42.2,37.3,19.43
65.3,35.6,0.0
42.3,2.3,0.0
39.0,36.0,17.98
40.1,36.9,8.86
28.7,41.1,45.83
42.3,2.3,0.0
64.5,35.8,0.0
14.3,10.6,12.37
62.5,32.6,0.0
70.4,35.0,0.0
68.9,36.7,18.82
43.8,33.3,32.83
44.4,33.3,62.99
44.4,33.1,36.19
43.3,33.4,39.36
35.2,31.8,62.95
109.4,24.4,46.24
74.1,32.6,31.97
31.2,30.0,63.0
44.7,13.7,7.62
40.9,-2.3,2.68
44.2,15.3,55.11
44.3,39.6,0.0
40.4,37.7,10.8
71.2,30.1,29.53
35.3,37.0,62.2
66.7,32.9,0.0
65.7,36.9,0.0
45.5,33.7,1.42
70.0,32.7,0.0
69.0,34.0,2.07
44.2,33.5,41.6
44.4,33.7,28.48
44.6,33.1,26.08
44.4,33.3,62.99
43.8,33.3,32.83
65.7,36.7,1.72
44.6,33.8,34.03
12.1,10.9,0.0
12.1,10.8,0.0
-73.1,-14.1,0.15
37.1,36.2,34.92
68.9,33.9,0.0
14.5,12.6,0.0
36.7,36.0,3.15
29.4,-3.4,23.43
44.2,15.3,55.11
70.9,31.8,30.1
62.9,26.4,0.0
41.9,37.0,8.46
6.5,5.0,11.36
20.2,30.8,26.66
44.0,33.3,22.35
64.8,32.3,0.4
13.1,11.8,8.48
11.2,10.3,24.9
43.9,33.4,36.14
44.4,33.3,62.99
44.3,33.1,21.48
66.1,32.9,0.0
38.3,34.6,13.75
42.6,40.3,13.27
14.6,12.2,0.0
44.6,33.1,26.08
45.3,2.1,5.48
126.0,7.1,0.15
67.1,30.7,1.88
44.2,15.3,55.11
44.2,15.3,55.11
92.2,22.7,1.91
44.4,33.3,62.99
20.2,30.8,26.66
44.3,33.6,37.78
43.3,33.4,39.36
45.4,13.1,12.18
12.0,11.7,4.78
13.8,11.0,0.0
65.9,35.8,0.0
7.5,9.1,52.84
67.4,32.5,0.0
66.3,31.8,0.0
70.4,34.4,9.2
44.8,13.2,9.91
68.4,37.0,0.0
50.0,26.6,55.58
44.6,37.3,5.58
73.1,31.4,59.2
43.0,14.8,40.09
125.9,7.4,2.02
20.2,32.1,59.2
50.6,26.2,62.98
67.0,30.2,62.08
62.6,34.2,0.0
69.9,33.3,2.03
44.4,33.3,62.99
62.5,32.6,0.0
121.4,17.6,0.0
38.3,36.6,8.41
44.4,33.3,62.99
49.4,16.9,0.0
34.9,37.4,10.38
79.9,6.9,62.69
13.1,11.8,8.48
12.0,11.3,0.35
79.7,27.0,1.84
44.6,33.1,26.08
67.0,30.2,62.08
44.3,33.1,21.48
42.1,36.8,10.36
43.2,35.5,17.7
37.1,36.2,34.92
70.7,33.0,11.17
37.1,36.2,34.92
42.6,16.9,62.93
43.5,17.7,41.18
37.5,36.2,3.84
20.2,30.8,26.66
35.4,32.1,15.21
61.2,34.7,1.02
6.1,5.0,3.6
43.8,33.3,32.83
42.4,33.8,8.74
44.4,33.3,62.99
85.5,26.1,5.21
71.2,34.9,0.3
36.2,35.4,1.97
43.5,34.9,37.79
12.9,10.7,0.27
75.5,32.1,15.58
42.5,39.1,2.84
65.0,32.3,1.2
31.3,30.1,63.0
13.3,10.7,0.2
70.8,36.7,0.0
44.0,13.6,35.51
69.1,34.5,50.37
122.1,6.5,0.2
66.9,32.1,10.62
36.3,33.5,56.4
6.4,4.5,5.72
-56.7,-23.5,1.52
-5.0,14.1,0.0
43.1,37.7,0.0
101.5,6.1,0.0
67.2,32.2,0.0
16.6,31.2,47.38
46.1,13.7,0.0
64.8,32.1,1.81
14.4,27.0,29.33
45.3,13.2,15.07
-4.1,14.5,7.99
44.6,33.2,26.64
33.6,30.7,0.0
-40.8,-2.9,7.28
68.4,33.8,0.0
70.7,33.6,0.0
44.3,33.1,21.48
74.1,34.7,0.0
42.2,37.3,19.43
62.2,33.6,0.0
43.0,14.8,40.09
65.7,31.6,31.83
69.0,34.0,2.07
42.5,18.2,51.9
68.3,26.6,9.88
37.8,47.5,1.56
45.2,4.7,0.31
95.7,27.6,1.48
32.5,30.0,55.83
44.4,33.2,47.0
44.4,33.0,19.68
44.7,33.4,20.78
44.4,33.3,62.99
22.6,32.8,24.94
33.8,31.1,34.11
64.6,31.8,4.07
43.0,2.4,0.62
121.1,6.1,0.0
38.0,48.3,31.32
45.7,43.4,21.8
12.5,10.9,0.0
70.8,36.7,0.0
36.7,35.8,0.5
43.5,34.9,37.79
28.7,41.1,45.83
42.5,37.2,15.8
64.8,32.3,0.4
67.0,30.2,62.08
66.9,32.1,10.62
68.7,33.9,0.0
44.8,1.7,0.94
36.7,36.0,3.15
123.2,10.0,2.54
31.3,30.1,63.0
44.6,33.7,29.77
70.6,34.2,0.0
71.1,36.7,0.0
71.8,34.8,7.48
45.6,4.2,0.0
9.6,7.5,4.31
43.1,36.4,52.01
122.8,13.8,0.68
66.0,36.7,0.0
40.2,37.9,47.15
45.2,34.3,13.99
13.6,10.9,0.8
44.4,33.3,62.99
43.2,35.5,17.7
43.0,2.4,0.62
37.1,36.7,32.28
34.2,31.3,24.95
43.9,39.1,8.44
122.1,6.9,23.86
126.2,8.3,0.0
125.6,9.5,1.85
29.6,0.8,0.0
44.3,33.5,56.42
44.5,33.3,62.62
44.4,33.1,36.19
44.6,34.9,26.24
34.1,31.2,29.09
35.4,33.5,41.34
44.0,13.6,35.51
14.6,13.4,0.0
14.4,13.4,0.0
67.1,24.9,63.0
73.1,33.7,61.64
83.2,17.7,57.78
14.3,10.6,12.37
123.4,13.2,0.0
75.2,33.7,7.3
40.6,38.5,2.94
17.3,31.1,9.9
101.6,6.7,10.34
45.3,2.1,5.48
44.4,33.3,62.99
84.4,24.7,3.88
42.2,36.2,0.0
44.9,13.1,14.8
44.6,33.2,26.64
18.6,4.4,11.59
70.4,34.4,9.2
64.9,31.7,0.0
71.1,34.8,0.0
30.9,29.6,12.32
44.8,12.8,7.79
69.1,36.7,0.0
41.4,37.4,19.2
44.4,33.3,62.99
44.6,34.9,26.24
43.1,36.4,52.01
46.2,35.5,31.0
44.4,33.3,62.99
68.9,36.7,18.82
43.8,33.3,32.83
44.6,33.1,26.08
90.4,23.8,62.43
42.5,37.3,4.98
-73.3,8.4,3.09
69.2,35.0,10.62
67.0,34.7,0.0
64.1,35.7,0.0
44.4,33.3,62.99
123.5,13.8,0.0
65.3,28.3,0.0
-92.0,30.2,58.94
65.0,34.6,0.0
71.1,36.7,0.0
43.8,33.4,32.92
37.8,48.1,33.1
42.2,3.5,0.0
62.3,32.5,0.0
124.2,7.2,8.53
41.0,38.1,8.7
39.9,38.0,1.11
44.6,33.7,29.77
44.4,33.5,47.62
67.1,24.9,63.0
31.7,26.6,59.86
32.6,-26.0,26.41
62.7,34.3,0.0
12.5,11.3,0.0
42.2,37.3,19.43
42.5,38.2,0.35
62.2,35.0,0.0
123.9,7.7,0.0
6.2,7.4,2.43
70.0,34.2,0.0
45.0,12.9,48.25
61.7,25.1,0.29
37.1,36.5,2.5
40.3,33.0,11.31
36.3,33.5,56.4
44.4,33.1,36.19
43.6,33.4,32.75
43.8,33.3,32.83
70.6,34.2,0.0
69.9,32.6,0.0
13.2,11.8,10.47
43.9,4.1,0.0
44.4,33.3,62.99
39.0,32.7,10.56
66.1,32.9,0.0
71.6,34.6,0.0
44.4,33.7,28.48
37.8,47.5,1.56
44.4,33.3,62.99
126.1,8.6,0.65
40.2,37.9,47.15
13.7,11.1,1.12
13.2,32.9,52.84
29.4,-3.5,0.12
71.9,34.5,13.37
8.7,35.1,0.15
62.9,26.4,0.0
22.6,32.8,24.94
44.4,33.3,62.99
44.7,33.4,20.78
44.4,33.1,36.19
44.7,1.8,0.0
46.6,4.7,0.0
37.1,36.7,32.28
62.2,33.7,0.0
70.4,34.4,9.2
68.5,35.8,0.0
44.4,33.3,62.99
44.1,33.3,42.94
62.6,34.5,0.0
67.1,24.9,63.0
68.1,33.2,0.0
13.2,12.7,0.0
71.3,34.7,1.56
68.4,33.2,0.0
44.4,33.3,62.99
50.5,26.2,62.68
38.8,37.2,50.31
